ELECTORES_HABIL,TOT_CIUDADANOS_VOTARON,POR_CIUDADANOS_VOTARON,POR_ACTAS_CONTABILIZADAS,POR_ACTAS_PROCESADAS,ACTAS_PROCESADAS,POR_PROCESAR,CONTABILIZA,POR_POR_PROCESAR,N_CANDIDATOS,updated,avance
17096826,13308277,77.84100000000001,67.22,68.17599999999999,58964,27524,58137,31.824,0,2021-06-07T05:48:00Z,74.9552
19430856,15065072,77.532,76.507,77.693,67195,19293,66169,22.307000000000002,0,2021-06-07T06:48:00Z,82.074699999999993
20773226,16051072,77.268,81.892,83.17299999999999,71935,14553,70827,16.827,0,2021-06-07T07:47:00Z,85.21920000000001
21587263,16636132,77.065,85.157,86.476,74791,11697,73651,13.524,0,2021-06-07T08:48:00Z,87.69369999999999
22171704,17057043,76.932,87.52799999999999,88.871,76863,9625,75701,11.129,0,2021-06-07T09:48:00Z,89.1899
22463650,17261652,76.843,88.698,90.049,77882,8606,76713,9.951,0,2021-06-07T10:48:00Z,90.2024
22693691,17425238,76.785,89.611,90.977,78684,7804,77503,9.023,0,2021-06-07T11:47:00Z,90.90920000000001
22898547,17570573,76.732,90.44700000000002,91.824,79417,7071,78226,8.176,0,2021-06-07T12:48:00Z,91.4582
23077770,17693255,76.66799999999999,91.157,92.55199999999999,80046,6442,78840,7.448,0,2021-06-07T13:53:00Z,92.11120000000001
23129817,17723084,76.624,91.362,92.76700000000001,80232,6256,79017,7.2330000000000005,0,2021-06-07T14:18:00Z,92.36269999999999
23214051,17773339,76.563,91.697,93.10799999999999,80527,5961,79307,6.8919999999999995,0,2021-06-07T14:48:00Z,92.616
23262475,17803306,76.532,91.897,93.31400000000001,80705,5783,79480,6.686,0,2021-06-07T15:17:00Z,92.7043
23321711,17836144,76.479,92.14,93.57,80927,5561,79690,6.430000000000001,0,2021-06-07T15:48:00Z,92.6914
23441569,17899316,76.357,92.61999999999999,94.059,81350,5138,80105,5.941000000000001,0,2021-06-07T16:19:00Z,93.1166
23492172,17930893,76.327,92.82,94.266,81529,4959,80278,5.734,0,2021-06-07T16:48:00Z,93.2356
23539330,17955767,76.28,93.018,94.472,81707,4781,80449,5.528,0,2021-06-07T17:48:00Z,93.2863
23611623,17994584,76.21100000000001,93.30799999999999,94.769,81964,4524,80700,5.231000000000001,0,2021-06-07T18:18:00Z,93.4334
23629811,18004805,76.195,93.383,94.84700000000001,82031,4457,80765,5.153,0,2021-06-07T18:40:00Z,93.4604
23673715,18029700,76.15899999999999,93.573,95.035,82194,4294,80929,4.965,0,2021-06-07T19:49:00Z,93.4702
23695188,18040243,76.13499999999999,93.663,95.13,82276,4212,81007,4.87,0,2021-06-07T20:21:00Z,93.4734
23738762,18065923,76.103,93.84,95.307,82429,4059,81160,4.693,0,2021-06-07T20:51:00Z,93.57329999999999
23811325,18105018,76.035,94.13799999999999,95.624,82703,3785,81418,4.376,0,2021-06-07T21:45:00Z,93.8068
23836904,18119889,76.016,94.24300000000001,95.727,82792,3696,81509,4.273000000000001,0,2021-06-07T22:18:00Z,93.82539999999999
23845723,18124270,76.006,94.279,95.759,82820,3668,81540,4.2410000000000005,0,2021-06-07T22:48:00Z,93.8633
23848016,18124504,76,94.289,95.776,82835,3653,81549,4.223999999999999,0,2021-06-07T23:18:00Z,93.87259999999999
23875437,18139614,75.976,94.402,95.88799999999999,82932,3556,81646,4.111999999999999,0,2021-06-07T23:48:00Z,93.96480000000001
23894437,18150627,75.962,94.478,95.962,82996,3492,81712,4.038,0,2021-06-08T00:23:00Z,94.05269999999999
23905921,18156854,75.95100000000001,94.523,96.002,83030,3458,81751,3.9979999999999998,0,2021-06-08T00:54:00Z,94.10199999999999
